학교ID,학교명,위도,경도,소재지도로명주소,학교급구분,설립형태,데이터기준일자,source_url,id_method,education_support_name,current_students,capacity,coordinate_status,coordinate_source,gu
B000011417,인천여자상업고등학교,37.46821127,126.6282965,인천광역시 중구 인중로 146,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,중구
B000011418,인천반도체고등학교,37.47070292,126.6366135,인천광역시 중구 참외전로 192,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,중구
B000011419,영종국제물류고등학교,37.4900632,126.5311287,인천광역시 중구 운남서로10번길 1,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,중구
B000011420,인천중앙여자고등학교,37.46541654,126.6418096,인천광역시 중구 샛골로 31,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,중구
B000011421,인천재능고등학교,37.47553313,126.6504734,인천광역시 동구 재능로 178,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,동구
B000011422,영화국제관광고등학교,37.47139745,126.6403955,인천광역시 동구 우각로 39,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,동구
B000011424,인천기계공업고등학교,37.45685643,126.6683566,인천광역시 미추홀구 한나루로 545,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,미추홀구
B000011425,인천소방고등학교,37.47099649,126.6548626,인천광역시 미추홀구 석정로 165,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,미추홀구
B000011426,인천비즈니스고등학교,37.47211645,126.6665695,인천광역시 미추홀구 장고개로 31,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,미추홀구
B000011427,문학정보고등학교,37.43549148,126.6866821,인천광역시 미추홀구 소성로350번길 29,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,미추홀구
B000011428,정석항공과학고등학교,37.45144803,126.6515423,인천광역시 미추홀구 인하로 100,고등학교,사립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,미추홀구
B000011429,인천해양과학고등학교,37.42524979,126.6407095,인천광역시 연수구 능허대로 71,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,,available,official_disclosure,연수구
